Vardi,Dzimums,Skaits
"DZIDRA NORA","SIEVIETE",1
"DZIDRA PĀRSLA","SIEVIETE",1
"DZIDRA RASMA","SIEVIETE",3
"DZIDRA REGĪNA","SIEVIETE",1
"DZIDRA RENATA","SIEVIETE",1
"DZIDRA RENĀTE","SIEVIETE",1
"DZIDRA RŪTA","SIEVIETE",1
"DZIDRA SILVIJA","SIEVIETE",3
"DZIDRA SKAIDRĪTE","SIEVIETE",5
"DZIDRA VAIRA","SIEVIETE",1
"DZIDRA VALDA","SIEVIETE",1
"DZIDRA VALENTĪNA","SIEVIETE",2
"DZIDRA VALIJA","SIEVIETE",1
"DZIDRA VELGA","SIEVIETE",1
"DZIDRA VELTA","SIEVIETE",2
"DZIDRA VERA","SIEVIETE",2
"DZIDRA VIJA","SIEVIETE",2
"DZIDRA VIJOLĪTE","SIEVIETE",1
"DZIDRA VIKTORIJA","SIEVIETE",3
"DZIDRA VIZMA","SIEVIETE",1
"DZIDRA ZIGRĪDA","SIEVIETE",4
"DZIDRA ĀRIJA","SIEVIETE",3
"DZIDRA ĒRIKA","SIEVIETE",2
"DZIDRA ŠARLOTE","SIEVIETE",1
"DZIDRIDA","SIEVIETE",1
"DZIDRIS","VĪRIETIS",18
"DZIDZJUŅS","VĪRIETIS",1
"DZIEDRA","SIEVIETE",1
"DZIESMA","SIEVIETE",1
"DZIGUNDA","SIEVIETE",1
"DZIJANA","SIEVIETE",1
"DZILVARS","VĪRIETIS",1
"DZINA","SIEVIETE",4
"DZINARS","VĪRIETIS",1
"DZINTA","SIEVIETE",14
"DZINTARA","SIEVIETE",6
"DZINTARS","VĪRIETIS",3278
"DZINTARS ADRIANS","VĪRIETIS",1
"DZINTARS AINARS","VĪRIETIS",1
"DZINTARS ALFREDS","VĪRIETIS",1
"DZINTARS ALFRĒDS","VĪRIETIS",1
"DZINTARS ANATOLIJS","VĪRIETIS",1
"DZINTARS ANDRIS","VĪRIETIS",1
"DZINTARS ARNIS","VĪRIETIS",1
"DZINTARS ARTŪRS","VĪRIETIS",1
"DZINTARS ARVĪDS","VĪRIETIS",1
"DZINTARS DAINIS","VĪRIETIS",1
"DZINTARS DANIELS","VĪRIETIS",1
"DZINTARS DENIZS","VĪRIETIS",1
"DZINTARS DZINTIS","VĪRIETIS",1
"DZINTARS DĀVIS","VĪRIETIS",1
"DZINTARS EDGARS","VĪRIETIS",1
"DZINTARS EDUARDS","VĪRIETIS",1
"DZINTARS EDVĪNS","VĪRIETIS",1
"DZINTARS EMĪLS","VĪRIETIS",1
"DZINTARS GINTS","VĪRIETIS",1
"DZINTARS HARALDS","VĪRIETIS",1
"DZINTARS HARIJS","VĪRIETIS",1
"DZINTARS HERBERTS","VĪRIETIS",1
"DZINTARS ILMĀRS","VĪRIETIS",2
"DZINTARS IMANTS","VĪRIETIS",1
"DZINTARS INDULIS","VĪRIETIS",1
"DZINTARS JULIANS","VĪRIETIS",1
"DZINTARS JUSTS","VĪRIETIS",1
"DZINTARS JĀNIS","VĪRIETIS",2
"DZINTARS JĒKABS","VĪRIETIS",1
"DZINTARS LEO","VĪRIETIS",1
"DZINTARS MAIKLS","VĪRIETIS",1
"DZINTARS MIKS","VĪRIETIS",1
"DZINTARS MĀRTIŅŠ","VĪRIETIS",1
"DZINTARS NIKOLAJS RUBESS","VĪRIETIS",1
"DZINTARS NILS","VĪRIETIS",1
"DZINTARS NORMUNDS","VĪRIETIS",2
"DZINTARS OJĀRS","VĪRIETIS",1
"DZINTARS RALFS","VĪRIETIS",1
"DZINTARS RENĒ","VĪRIETIS",1
"DZINTARS ROBERTS","VĪRIETIS",2
"DZINTARS STAŅISLAVS","VĪRIETIS",1
"DZINTARS VILNIS","VĪRIETIS",1
"DZINTARS VISVALDIS","VĪRIETIS",1
"DZINTARS ZIGISMUNDS","VĪRIETIS",1
"DZINTARS ZIGMUNDS","VĪRIETIS",1
"DZINTARS ĀDOLFS","VĪRIETIS",1
"DZINTARS ĒRIKS","VĪRIETIS",1
"DZINTIS","VĪRIETIS",11
"DZINTIS GATIS","VĪRIETIS",1
"DZINTRA","SIEVIETE",4571
"DZINTRA ADELĪNE","SIEVIETE",1
"DZINTRA ADRINA","SIEVIETE",1
"DZINTRA AIJA","SIEVIETE",5
"DZINTRA AINA","SIEVIETE",3
"DZINTRA ALMA","SIEVIETE",1
"DZINTRA ANDRA","SIEVIETE",1
"DZINTRA ANITA","SIEVIETE",3
"DZINTRA ANNA","SIEVIETE",4
"DZINTRA ASTRĪDA","SIEVIETE",1
"DZINTRA AUGUSTE","SIEVIETE",1
"DZINTRA AUSMA","SIEVIETE",2
"DZINTRA BAIBA","SIEVIETE",2
"DZINTRA BENITA","SIEVIETE",1
"DZINTRA BIRUTA","SIEVIETE",2
"DZINTRA BRIGITA","SIEVIETE",2
"DZINTRA DAGMARA","SIEVIETE",1
"DZINTRA DAILA AMBERA","SIEVIETE",1
"DZINTRA DAINA","SIEVIETE",5
"DZINTRA DAINUVĪTE","SIEVIETE",1
"DZINTRA DZEJA","SIEVIETE",1
"DZINTRA DZIDRA","SIEVIETE",2
"DZINTRA DĀLIJA","SIEVIETE",1
"DZINTRA ELVĪRA","SIEVIETE",1
"DZINTRA ELZA","SIEVIETE",1
"DZINTRA EMMA","SIEVIETE",1
"DZINTRA ERIKA","SIEVIETE",1
"DZINTRA ERNA","SIEVIETE",2
"DZINTRA ESTERE","SIEVIETE",1
"DZINTRA GAIDA","SIEVIETE",1
"DZINTRA GUNTA","SIEVIETE",2
"DZINTRA HEDVIGA","SIEVIETE",1
"DZINTRA HELĒNA","SIEVIETE",1
"DZINTRA IEVA","SIEVIETE",1
"DZINTRA ILGA","SIEVIETE",2
"DZINTRA ILONA","SIEVIETE",2
"DZINTRA ILZE","SIEVIETE",1
"DZINTRA INESE","SIEVIETE",1
"DZINTRA INTA","SIEVIETE",2
"DZINTRA INĀRA","SIEVIETE",2
"DZINTRA IRĒNA","SIEVIETE",2
"DZINTRA IZOLDA","SIEVIETE",1
"DZINTRA JAUTRĪTE","SIEVIETE",1
"DZINTRA KARINA","SIEVIETE",1
"DZINTRA KARLĪNE","SIEVIETE",1
"DZINTRA KARĪNA","SIEVIETE",2
"DZINTRA KATRĪNE","SIEVIETE",1
"DZINTRA KORNELIJA","SIEVIETE",1
"DZINTRA LAIMA","SIEVIETE",1
"DZINTRA LAIMDOTA","SIEVIETE",2
"DZINTRA LAUMA","SIEVIETE",1
"DZINTRA LIDIJA","SIEVIETE",1
"DZINTRA LIGITA","SIEVIETE",1
"DZINTRA LILIJA","SIEVIETE",5
"DZINTRA LILITA","SIEVIETE",2
"DZINTRA LINDA","SIEVIETE",2
"DZINTRA LĪGA","SIEVIETE",1
"DZINTRA LĪNE","SIEVIETE",1
"DZINTRA LĪVIJA","SIEVIETE",1
"DZINTRA LŪCIJA","SIEVIETE",1
"DZINTRA MAIGA","SIEVIETE",1
"DZINTRA MAIJA","SIEVIETE",6
"DZINTRA MALVĪNE","SIEVIETE",1
"DZINTRA MARGRIETA","SIEVIETE",1
"DZINTRA MARIANNA","SIEVIETE",1
"DZINTRA MARITA","SIEVIETE",1
"DZINTRA MARUTA","SIEVIETE",1
"DZINTRA MEGANA","SIEVIETE",1
"DZINTRA MELITA","SIEVIETE",2
"DZINTRA MIGNONA","SIEVIETE",1
"DZINTRA MIRDZA","SIEVIETE",2
"DZINTRA MUDĪTE","SIEVIETE",3
"DZINTRA MĀRA","SIEVIETE",1
"DZINTRA MĀRĪTE","SIEVIETE",2
"DZINTRA RASMA","SIEVIETE",2
"DZINTRA REGINA","SIEVIETE",1
"DZINTRA REGĪNA","SIEVIETE",1
"DZINTRA ROTA","SIEVIETE",1
"DZINTRA RUDĪTE","SIEVIETE",2
"DZINTRA RUTA","SIEVIETE",3
"DZINTRA RŪTA","SIEVIETE",1
"DZINTRA RŪTIŅA","SIEVIETE",1
"DZINTRA SABRĪNA","SIEVIETE",1
"DZINTRA SANDRA","SIEVIETE",1
"DZINTRA SARMĪTE","SIEVIETE",1
"DZINTRA SILVIJA","SIEVIETE",3
"DZINTRA SKAIDRĪTE","SIEVIETE",8
"DZINTRA SOLVEIGA","SIEVIETE",2
"DZINTRA SVETLANA","SIEVIETE",1
"DZINTRA VALDA","SIEVIETE",2
"DZINTRA VALERIJA","SIEVIETE",1
"DZINTRA VALIJA VALENTĪNA","SIEVIETE",1
"DZINTRA VELGA","SIEVIETE",1
"DZINTRA VERA","SIEVIETE",1
"DZINTRA VERONIKA MARTA","SIEVIETE",1
"DZINTRA VIJA","SIEVIETE",3
"DZINTRA VILMA","SIEVIETE",1
"DZINTRA VIRGINIJA","SIEVIETE",1
"DZINTRA VIZMA","SIEVIETE",2
"DZINTRA VĒSMA","SIEVIETE",1
"DZINTRA ZANE","SIEVIETE",1
"DZINTRA ZELTĪTE","SIEVIETE",1
"DZINTRA ZIGRĪDA","SIEVIETE",1
"DZINTRA ĀRIJA","SIEVIETE",4
"DZINTRA ĪRISA","SIEVIETE",1
"DZINTRIS","VĪRIETIS",10
"DZINTRITA","SIEVIETE",1
"DZINTRIŅA","SIEVIETE",1
"DZINTRS","VĪRIETIS",2
"DZINTĀRA","SIEVIETE",1
"DZINTĀRE","SIEVIETE",1
"DZINTĀRIJA","SIEVIETE",2
"DZINTĀRS","VĪRIETIS",12
"DZINĀRA","SIEVIETE",1
"DZIRKSTE","SIEVIETE",1
"DZIRKSTĪTE","SIEVIETE",53
"DZITA","SIEVIETE",1
"DZIULJETA","SIEVIETE",1
"DZIYANA","SIEVIETE",5
"DZJACJI","SIEVIETE",1
"DZJAEŅA BELLA","SIEVIETE",1
"DZJAHAO","VĪRIETIS",1
"DZJUŅDZJE","VĪRIETIS",1
"DZMITRIY","VĪRIETIS",1
"DZMITRY","VĪRIETIS",149
"DZONATANS TAILERS","VĪRIETIS",1
"DZONS HENRIJS","VĪRIETIS",1
"DZUHAO","VĪRIETIS",1
"DZUJUI","SIEVIETE",1
"DZVENYSLAVA","SIEVIETE",1
"DZĪLE","SIEVIETE",1
"DZĪLIS","VĪRIETIS",1
"DZĪLIS KĀRLIS","VĪRIETIS",1
"DZĪNE","SIEVIETE",2
"DĀGA","SIEVIETE",1
"DĀGS","VĪRIETIS",49
"DĀGS ALEKSANDERS","VĪRIETIS",1
"DĀGS ALEKSANDRS","VĪRIETIS",1
"DĀGS DAGLASS","VĪRIETIS",1
"DĀGS DANIELS","VĪRIETIS",3
"DĀGS DZINTARS","VĪRIETIS",1
"DĀGS DĀNIELS","VĪRIETIS",1
"DĀGS DĀVIDS","VĪRIETIS",2
"DĀGS DĀVIS","VĪRIETIS",2
"DĀGS EMANUELS POVLETS","VĪRIETIS",1
"DĀGS EMĪLS","VĪRIETIS",2
"DĀGS EVERTS","VĪRIETIS",1
"DĀGS GABRIELS","VĪRIETIS",2
"DĀGS GUSTAVS","VĪRIETIS",2
"DĀGS JUMIS","VĪRIETIS",1
"DĀGS JĒKABS","VĪRIETIS",1
"DĀGS KRISTAPS","VĪRIETIS",1
"DĀGS KĀRLIS","VĪRIETIS",1
"DĀGS LEONARDS","VĪRIETIS",1
"DĀGS MARKUSS","VĪRIETIS",1
"DĀGS NIKS","VĪRIETIS",1
"DĀGS OSVALDS","VĪRIETIS",1
"DĀGS PAULS","VĪRIETIS",1
"DĀGS RIČARDS","VĪRIETIS",1
"DĀGS RŪDIS","VĪRIETIS",1
"DĀGS RŪSIŅŠ","VĪRIETIS",1
"DĀGS VILIS","VĪRIETIS",1
"DĀGS ĀDAMS","VĪRIETIS",1
"DĀGS ĀRENS","VĪRIETIS",1
"DĀKS","VĪRIETIS",1
"DĀLE","SIEVIETE",2
"DĀLIA","SIEVIETE",1
"DĀLIJA","SIEVIETE",15
"DĀLIJA ELIZABETE","SIEVIETE",1
"DĀLIJA UVĒRA MAHAME","SIEVIETE",1
"DĀLIS","VĪRIETIS",1
"DĀLS","VĪRIETIS",1
"DĀMIANA","SIEVIETE",1
"DĀMINS","VĪRIETIS",1
"DĀMIRS","VĪRIETIS",2
"DĀNA","SIEVIETE",1
"DĀNIELA","SIEVIETE",4
"DĀNIELS","VĪRIETIS",427
"DĀNIELS ADRIANS","VĪRIETIS",1
"DĀNIELS ALEKSANDRS","VĪRIETIS",1
"DĀNIELS ALENS","VĪRIETIS",1
"DĀNIELS ALFRĒDS","VĪRIETIS",1
"DĀNIELS ARNIS","VĪRIETIS",1
"DĀNIELS DAILIS","VĪRIETIS",1
"DĀNIELS DAMIANS","VĪRIETIS",1
"DĀNIELS DANS","VĪRIETIS",1
"DĀNIELS DZINTARS","VĪRIETIS",1
"DĀNIELS DĀVIS","VĪRIETIS",4
"DĀNIELS DĪNS","VĪRIETIS",1
"DĀNIELS DĪVS","VĪRIETIS",1
"DĀNIELS EMĪLS","VĪRIETIS",1
"DĀNIELS GEORGS","VĪRIETIS",1
"DĀNIELS GRANTS","VĪRIETIS",1
"DĀNIELS HARIJS","VĪRIETIS",1
"DĀNIELS HEINO","VĪRIETIS",1
"DĀNIELS HEINRIHS","VĪRIETIS",1
"DĀNIELS IVO","VĪRIETIS",1
"DĀNIELS JURIS","VĪRIETIS",1
"DĀNIELS JĀNIS","VĪRIETIS",2
"DĀNIELS KAMERONS","VĪRIETIS",1
"DĀNIELS KRISTIANS","VĪRIETIS",1
"DĀNIELS KRISTIĀNS","VĪRIETIS",2
"DĀNIELS KRISTS","VĪRIETIS",2
"DĀNIELS LAJOŠS","VĪRIETIS",1
"DĀNIELS LEONARDS","VĪRIETIS",1
"DĀNIELS MARKS","VĪRIETIS",1
"DĀNIELS MARKUSS","VĪRIETIS",1
"DĀNIELS MIKS","VĪRIETIS",1
"DĀNIELS NILS","VĪRIETIS",1
"DĀNIELS RAIVIS","VĪRIETIS",1
"DĀNIELS RAIVO","VĪRIETIS",1
"DĀNIELS RIČARDS","VĪRIETIS",2
"DĀNIELS TEODORS","VĪRIETIS",1
"DĀNILS","VĪRIETIS",1
"DĀNIS","VĪRIETIS",1
"DĀNIĒLS","VĪRIETIS",1
"DĀNS","VĪRIETIS",1
"DĀNS ARIANS","VĪRIETIS",1
"DĀRA","SIEVIETE",2
"DĀRENS","VĪRIETIS",1
"DĀRIJA","SIEVIETE",36
"DĀRIJA TEIKA","SIEVIETE",1
"DĀRIJS","VĪRIETIS",20
"DĀRIJS ALEKSANDRS","VĪRIETIS",1
"DĀRIJS AMANDS","VĪRIETIS",1
"DĀRIJS DOMINIKS","VĪRIETIS",1
"DĀRIJS EMARIELS","VĪRIETIS",1
"DĀRIJS ISMARS","VĪRIETIS",1
"DĀRIO","VĪRIETIS",2
"DĀRIS GUSTS","VĪRIETIS",1
"DĀRIUS","VĪRIETIS",1
"DĀRIUSS","VĪRIETIS",1
"DĀRSIJA","SIEVIETE",1
"DĀRSIJA LEILA","SIEVIETE",1
"DĀRSIJA RŪTA ELZA","SIEVIETE",1
"DĀRSIJS FINNS","VĪRIETIS",1
"DĀRSIJS NĪLS","VĪRIETIS",1
"DĀRTA","SIEVIETE",2090
"DĀRTA ADELE","SIEVIETE",1
"DĀRTA AGATE","SIEVIETE",1
"DĀRTA ALEKSANDRA","SIEVIETE",3
"DĀRTA ALISE","SIEVIETE",4
"DĀRTA AMALA","SIEVIETE",1
"DĀRTA AMELIJA","SIEVIETE",1
"DĀRTA AMĒLIJA","SIEVIETE",2
"DĀRTA ANABELLA","SIEVIETE",3
"DĀRTA ANCE","SIEVIETE",3
"DĀRTA ANDA","SIEVIETE",1
"DĀRTA ANETE","SIEVIETE",3
"DĀRTA ANNA","SIEVIETE",18
"DĀRTA ANNIJA","SIEVIETE",1
"DĀRTA ANNIKA","SIEVIETE",3
"DĀRTA ARTA","SIEVIETE",3
"DĀRTA AURĒLIJA","SIEVIETE",1
"DĀRTA BEATRISE","SIEVIETE",1
"DĀRTA BERNADETA","SIEVIETE",1
"DĀRTA BEĀTE","SIEVIETE",2
"DĀRTA BILLE","SIEVIETE",1
"DĀRTA DACE","SIEVIETE",3
"DĀRTA DAGMĀRA","SIEVIETE",1
"DĀRTA DANA","SIEVIETE",1
"DĀRTA DANIELA","SIEVIETE",5
"DĀRTA DANIJA","SIEVIETE",1
"DĀRTA DEBORA","SIEVIETE",1
"DĀRTA DINIJA","SIEVIETE",1
"DĀRTA DITA","SIEVIETE",1
"DĀRTA DIĀNA","SIEVIETE",1
"DĀRTA DOROTEJA","SIEVIETE",1
"DĀRTA DZIDRA","SIEVIETE",1
"DĀRTA DZINTARA","SIEVIETE",1
"DĀRTA DZINTRA","SIEVIETE",1
"DĀRTA DŽESIKA","SIEVIETE",1
"DĀRTA DŽINETA","SIEVIETE",1
"DĀRTA EIMIJA","SIEVIETE",1
"DĀRTA ELENA","SIEVIETE",1
"DĀRTA ELEONORA","SIEVIETE",1
"DĀRTA ELIZABETE","SIEVIETE",15
"DĀRTA ELZA","SIEVIETE",6
"DĀRTA ELĒNA","SIEVIETE",1
"DĀRTA ELĪNA","SIEVIETE",5
"DĀRTA ELĪZA","SIEVIETE",11
"DĀRTA EMMA","SIEVIETE",3
"DĀRTA EMĪLIJA","SIEVIETE",12
"DĀRTA ENIJA","SIEVIETE",1
"DĀRTA ESTERE","SIEVIETE",6
"DĀRTA EVA","SIEVIETE",1
"DĀRTA EVE","SIEVIETE",1
"DĀRTA EVELĪNA","SIEVIETE",2
"DĀRTA EVITA","SIEVIETE",1
"DĀRTA FRANČESKA","SIEVIETE",2
"DĀRTA GABRIELA","SIEVIETE",1
"DĀRTA GABRIELLA","SIEVIETE",1
"DĀRTA GLORIJA","SIEVIETE",1
"DĀRTA GRIETA","SIEVIETE",1
"DĀRTA GRĒTA","SIEVIETE",1
"DĀRTA GUNDEGA","SIEVIETE",1
"DĀRTA GUNTA","SIEVIETE",1
"DĀRTA HELĒNA","SIEVIETE",1
"DĀRTA HENRIETE","SIEVIETE",2
"DĀRTA IEVA","SIEVIETE",3
"DĀRTA ILONA","SIEVIETE",1
"DĀRTA ILZE","SIEVIETE",1
"DĀRTA INDRA","SIEVIETE",1
"DĀRTA IVETA","SIEVIETE",1
"DĀRTA JASMĪNA","SIEVIETE",1
"DĀRTA JETE","SIEVIETE",3
"DĀRTA JOHANNA","SIEVIETE",1
"DĀRTA JUSTĪNE","SIEVIETE",2
"DĀRTA KAMILLA","SIEVIETE",1
"DĀRTA KARIMA","SIEVIETE",1
"DĀRTA KARLĪNA","SIEVIETE",1
"DĀRTA KARLĪNE","SIEVIETE",2
"DĀRTA KAROLINA","SIEVIETE",1
"DĀRTA KAROLĪNA","SIEVIETE",2
"DĀRTA KARĪNA","SIEVIETE",1
"DĀRTA KATE","SIEVIETE",2
"DĀRTA KATRĪNA","SIEVIETE",6
"DĀRTA KATRĪNE","SIEVIETE",1
"DĀRTA KEILIJA","SIEVIETE",1
"DĀRTA KEITA","SIEVIETE",1
"DĀRTA KORSIKA","SIEVIETE",1
"DĀRTA KRISTIĀNA","SIEVIETE",4
"DĀRTA KRISTĪNE","SIEVIETE",2
"DĀRTA LAILA","SIEVIETE",1
"DĀRTA LAIMA","SIEVIETE",3
"DĀRTA LAUMA","SIEVIETE",1
"DĀRTA LAURA","SIEVIETE",2
"DĀRTA LELDE","SIEVIETE",1
"DĀRTA LETĪCIJA","SIEVIETE",3
"DĀRTA LIDIJA","SIEVIETE",1
"DĀRTA LIENA","SIEVIETE",1
"DĀRTA LIENE","SIEVIETE",1
"DĀRTA LOTE","SIEVIETE",3
"DĀRTA LUĪZA","SIEVIETE",1
"DĀRTA LUĪZE","SIEVIETE",12
"DĀRTA LĪBA","SIEVIETE",2
"DĀRTA LĪNA","SIEVIETE",2
"DĀRTA LĪVA","SIEVIETE",2
"DĀRTA LŪCIJA","SIEVIETE",1
"DĀRTA MADALA","SIEVIETE",1
"DĀRTA MADARA","SIEVIETE",4
"DĀRTA MAGDALĒNA","SIEVIETE",1
"DĀRTA MAIJA","SIEVIETE",3
"DĀRTA MARIANNA","SIEVIETE",1
"DĀRTA MARIJA","SIEVIETE",5
"DĀRTA MARTA","SIEVIETE",4
"DĀRTA MATILDE","SIEVIETE",2
"DĀRTA MEGIJA","SIEVIETE",1
"DĀRTA MELISA","SIEVIETE",1
"DĀRTA MELĀNIJA","SIEVIETE",1
"DĀRTA MĀRĪTE","SIEVIETE",1
"DĀRTA NADĪNA","SIEVIETE",1
"DĀRTA NELLIJA","SIEVIETE",1
"DĀRTA NERINGA","SIEVIETE",1
"DĀRTA NORA","SIEVIETE",2
"DĀRTA ODRIJA","SIEVIETE",1
"DĀRTA OLĪVIJA","SIEVIETE",1
"DĀRTA PATRĪCIJA","SIEVIETE",2
"DĀRTA PAULA","SIEVIETE",7
"DĀRTA PĒRLE","SIEVIETE",1
"DĀRTA RASA","SIEVIETE",1
"DĀRTA REBEKA","SIEVIETE",1
"DĀRTA REIVENA","SIEVIETE",1
"DĀRTA REIČELA","SIEVIETE",1
"DĀRTA RENĀTA","SIEVIETE",1
"DĀRTA RENĀTE","SIEVIETE",1
"DĀRTA ROZE","SIEVIETE",1
"DĀRTA SABĪNE","SIEVIETE",2
"DĀRTA SAKA","SIEVIETE",1
"DĀRTA SELĒNA","SIEVIETE",1
"DĀRTA SILVIJA","SIEVIETE",1
"DĀRTA SOFIJA","SIEVIETE",4
"DĀRTA STEFĀNIJA","SIEVIETE",1
"DĀRTA SĀRA","SIEVIETE",1
"DĀRTA TEREZA","SIEVIETE",1
"DĀRTA UNDA","SIEVIETE",1
"DĀRTA VIJA","SIEVIETE",1
"DĀRTA VIKTORIJA","SIEVIETE",3
"DĀRTA ZANE","SIEVIETE",1
"DĀRTA ZELMA","SIEVIETE",1
"DĀRTA ČIPENA","SIEVIETE",1
"DĀRTA ĒRIKA","SIEVIETE",1
"DĀRTA ŠARLOTE","SIEVIETE",1
"DĀRTE","SIEVIETE",4
"DĀRTS","VĪRIETIS",1
"DĀVI","VĪRIETIS",1
"DĀVIDS","VĪRIETIS",2252
"DĀVIDS ADEKANMI","VĪRIETIS",1
"DĀVIDS ADRIANS","VĪRIETIS",1
"DĀVIDS AGATE","VĪRIETIS",1
"DĀVIDS AINĀRS","VĪRIETIS",1
"DĀVIDS AIVARS","VĪRIETIS",1
"DĀVIDS AKSELS","VĪRIETIS",1
"DĀVIDS ALBERTS","VĪRIETIS",3
"DĀVIDS ALEKSANDERS","VĪRIETIS",3
"DĀVIDS ALEKSANDRS","VĪRIETIS",7
"DĀVIDS ALEKSS","VĪRIETIS",2
"DĀVIDS ALENS","VĪRIETIS",2
"DĀVIDS ANATOLIJS","VĪRIETIS",1
"DĀVIDS ANDERS","VĪRIETIS",1
"DĀVIDS ANDREASS","VĪRIETIS",2
"DĀVIDS ANDREJS","VĪRIETIS",3
"DĀVIDS ANDRIS","VĪRIETIS",5
"DĀVIDS ANDRĒ","VĪRIETIS",1
"DĀVIDS ANTONIJS","VĪRIETIS",1
"DĀVIDS ARNIS","VĪRIETIS",2
"DĀVIDS ARTŪRS","VĪRIETIS",1
"DĀVIDS ARVĪDS","VĪRIETIS",1
"DĀVIDS ASADS","VĪRIETIS",1
"DĀVIDS AURELS","VĪRIETIS",1
"DĀVIDS BENTSJONS","VĪRIETIS",1
"DĀVIDS BORISS","VĪRIETIS",1
"DĀVIDS BRENDONS","VĪRIETIS",1
"DĀVIDS DAMIRS","VĪRIETIS",1
"DĀVIDS DANIELS","VĪRIETIS",11
"DĀVIDS DANIELS PĒTERIS VILJAMS","VĪRIETIS",1
"DĀVIDS DANIĒLS","VĪRIETIS",1
"DĀVIDS DEIVIDS","VĪRIETIS",1
"DĀVIDS DONA","VĪRIETIS",1
"DĀVIDS DĀNIELS","VĪRIETIS",2
"DĀVIDS DĀVIS","VĪRIETIS",10
"DĀVIDS DĪVS","VĪRIETIS",1
"DĀVIDS DŽEFRIJS","VĪRIETIS",1
"DĀVIDS DŽEIMS","VĪRIETIS",1
"DĀVIDS DŽEIMSS","VĪRIETIS",2
"DĀVIDS DŽEISONS","VĪRIETIS",1
"DĀVIDS DŽONATANS","VĪRIETIS",1
"DĀVIDS DŽORDŽS","VĪRIETIS",1
"DĀVIDS EDENS","VĪRIETIS",1
"DĀVIDS EDGARS","VĪRIETIS",3
"DĀVIDS EDUARDS","VĪRIETIS",3
"DĀVIDS EDVARDS","VĪRIETIS",5
"DĀVIDS EHIMARE","VĪRIETIS",1
"DĀVIDS ELIO","VĪRIETIS",1
"DĀVIDS EMBRIKS","VĪRIETIS",1
"DĀVIDS EMMETS","VĪRIETIS",1
"DĀVIDS EMĪLS","VĪRIETIS",2
"DĀVIDS ERNESTS","VĪRIETIS",1
"DĀVIDS ESKILS","VĪRIETIS",1
"DĀVIDS EZRA","VĪRIETIS",2
"DĀVIDS FILIPS","VĪRIETIS",1
"DĀVIDS GABRIELS","VĪRIETIS",1
"DĀVIDS GRĒMS","VĪRIETIS",1
"DĀVIDS GUSTAVS","VĪRIETIS",4
"DĀVIDS GUSTS","VĪRIETIS",1
"DĀVIDS GVIDO","VĪRIETIS",1
"DĀVIDS HELVIJS","VĪRIETIS",1
"DĀVIDS HENRIHS","VĪRIETIS",1
"DĀVIDS HENRIJS","VĪRIETIS",1
"DĀVIDS HENRIKS","VĪRIETIS",1
"DĀVIDS HERBERTS","VĪRIETIS",1
"DĀVIDS HERMANIS","VĪRIETIS",1
"DĀVIDS IMANUĒLS","VĪRIETIS",1
"DĀVIDS INGUS","VĪRIETIS",1
"DĀVIDS IVARS","VĪRIETIS",1
"DĀVIDS JASMĪNS","VĪRIETIS",1
"DĀVIDS JOHANS","VĪRIETIS",1
"DĀVIDS JONATANS","VĪRIETIS",1
"DĀVIDS JONATĀNS","VĪRIETIS",1
"DĀVIDS JUNIORS","VĪRIETIS",1
"DĀVIDS JURIS","VĪRIETIS",1
"DĀVIDS JĀKOBS","VĪRIETIS",1
"DĀVIDS JĀNIS","VĪRIETIS",21
"DĀVIDS JĀNIS TOMASS","VĪRIETIS",1
"DĀVIDS JĀZEPS","VĪRIETIS",1
"DĀVIDS JĒKABS","VĪRIETIS",3
"DĀVIDS KARLS","VĪRIETIS",1
"DĀVIDS KAROLS","VĪRIETIS",1
"DĀVIDS KASPARS","VĪRIETIS",1
"DĀVIDS KONSTANTĪNS GERMANS","VĪRIETIS",1
"DĀVIDS KRISTAPS","VĪRIETIS",2
"DĀVIDS KRISTIANS","VĪRIETIS",1
"DĀVIDS KRISTIĀNS","VĪRIETIS",6
"DĀVIDS KRISTOFERS","VĪRIETIS",5
"DĀVIDS KRISTS","VĪRIETIS",1
"DĀVIDS KRIŠS","VĪRIETIS",1
"DĀVIDS KĀRLIS","VĪRIETIS",6
"DĀVIDS LADO","VĪRIETIS",1
"DĀVIDS LARIJS","VĪRIETIS",1
"DĀVIDS LAURIS","VĪRIETIS",1
"DĀVIDS LEO","VĪRIETIS",2
"DĀVIDS LEONARDS","VĪRIETIS",1
"DĀVIDS LEONS","VĪRIETIS",1
"DĀVIDS LEOPOLDS","VĪRIETIS",1
"DĀVIDS LEVS","VĪRIETIS",1
"DĀVIDS LUKA","VĪRIETIS",1
"DĀVIDS LUKAS","VĪRIETIS",1
"DĀVIDS LŪCIJS","VĪRIETIS",1
"DĀVIDS LŪKASS","VĪRIETIS",1
"DĀVIDS MAGNUSS","VĪRIETIS",1
"DĀVIDS MAKSIMILIANS","VĪRIETIS",1
"DĀVIDS MARIJA","VĪRIETIS",1
"DĀVIDS MARIĀNS","VĪRIETIS",1
"DĀVIDS MARKS","VĪRIETIS",3
"DĀVIDS MARKUS","VĪRIETIS",2
"DĀVIDS MARKUSS","VĪRIETIS",3
"DĀVIDS MARTINS","VĪRIETIS",1
"DĀVIDS MATĪSS","VĪRIETIS",1
"DĀVIDS MIKS","VĪRIETIS",1
