Vardi,Dzimums,Skaits
"ABDOUL KADER","VĪRIETIS",1
"ABDOULAYE","VĪRIETIS",1
"ABDOULAYE DJIBRIL","VĪRIETIS",1
"ABDRAKHMAN KULTEGIN","VĪRIETIS",1
"ABDU KARIMS","VĪRIETIS",1
"ABDUALI","VĪRIETIS",1
"ABDUALRAHMAN","VĪRIETIS",1
"ABDUBORIY","VĪRIETIS",1
"ABDUGAFFAR","VĪRIETIS",1
"ABDUGAFFOR","VĪRIETIS",1
"ABDUGAFUR","VĪRIETIS",1
"ABDUGANI","VĪRIETIS",2
"ABDUGANS","VĪRIETIS",1
"ABDUGOFFOR","VĪRIETIS",1
"ABDUHALIL","VĪRIETIS",2
"ABDUHAMID","VĪRIETIS",1
"ABDUJABBOR","VĪRIETIS",5
"ABDUJABOR","VĪRIETIS",1
"ABDUJALOLDIN","VĪRIETIS",1
"ABDUKADIR SANO","VĪRIETIS",1
"ABDUKAKHKHOR","VĪRIETIS",1
"ABDUKAKHOR","VĪRIETIS",1
"ABDUKAYUM","VĪRIETIS",1
"ABDUKHAFIZ","VĪRIETIS",2
"ABDUKHAKIM","VĪRIETIS",1
"ABDUKHAMID","VĪRIETIS",1
"ABDUKHOLIK","VĪRIETIS",1
"ABDUKHOLIQ","VĪRIETIS",1
"ABDUKHOMID","VĪRIETIS",1
"ABDUKODIR","VĪRIETIS",3
"ABDUKODIRS","VĪRIETIS",1
"ABDUKOKHIR","VĪRIETIS",1
"ABDUKOSIM","VĪRIETIS",1
"ABDUL","VĪRIETIS",9
"ABDUL ALI","VĪRIETIS",1
"ABDUL AZIZ","VĪRIETIS",1
"ABDUL BAQI MOHAMED ABDUL BAQI MOHAMED","VĪRIETIS",1
"ABDUL BASHER","VĪRIETIS",1
"ABDUL BASHIR","VĪRIETIS",1
"ABDUL BASIM","VĪRIETIS",1
"ABDUL BASIR","VĪRIETIS",1
"ABDUL BAZITH","VĪRIETIS",1
"ABDUL DANISH SIDDIQUI","VĪRIETIS",1
"ABDUL FAHAD","VĪRIETIS",1
"ABDUL FATAKH","VĪRIETIS",1
"ABDUL GHIAS KHAN","VĪRIETIS",1
"ABDUL GUDUS","VĪRIETIS",1
"ABDUL HAI","VĪRIETIS",1
"ABDUL HALIK","VĪRIETIS",1
"ABDUL HAMED","VĪRIETIS",1
"ABDUL HANNAN","VĪRIETIS",1
"ABDUL JAHID","VĪRIETIS",1
"ABDUL JIBEESH KURIKKALAKATH","VĪRIETIS",1
"ABDUL KADER","VĪRIETIS",1
"ABDUL KARIM","VĪRIETIS",2
"ABDUL KHADI","VĪRIETIS",1
"ABDUL KHALEK","VĪRIETIS",1
"ABDUL KHALID","VĪRIETIS",1
"ABDUL LATIF","VĪRIETIS",1
"ABDUL MAJEED","VĪRIETIS",1
"ABDUL MARJAN","VĪRIETIS",1
"ABDUL MOHAYMEN","VĪRIETIS",1
"ABDUL MUHAIMIR","VĪRIETIS",1
"ABDUL MUJEEB","VĪRIETIS",1
"ABDUL QADER","VĪRIETIS",1
"ABDUL QALEEQ","VĪRIETIS",1
"ABDUL QUDDOOS","VĪRIETIS",1
"ABDUL RAAQIB","VĪRIETIS",1
"ABDUL RAHEEM","VĪRIETIS",2
"ABDUL RAQEEB","VĪRIETIS",1
"ABDUL SALAM","VĪRIETIS",3
"ABDUL SAMAD","VĪRIETIS",1
"ABDUL SAMEEH","VĪRIETIS",1
"ABDUL SHAHID","VĪRIETIS",1
