date,diacritics_percentage
2020-01-01,27.504438039892307
2020-07-01,27.489464974406335
2021-01-01,27.456915208287928
2021-07-01,27.432694473769065
2021-10-14,27.4052027264075
2021-10-15,27.40519126117671
2022-01-01,27.384674749294856
2022-07-01,26.939999239982512
2023-01-01,26.854688232116647
2023-07-01,26.784298470669995
2023-10-01,26.79571164976139
2024-01-01,26.75034525625565
2024-07-01,26.700850639042415
2025-01-01,26.662807723624724
2025-07-01,26.834895240392953
2026-01-01,26.833649544984333
